model,episode,success,total_reward,n_steps,stand_reward,small_control,door_openness_reward,door_hatch_openness_reward,hand_hatch_proximity_reward,passage_reward
Baseline,0,0,224.00678614308447,1000,959.069976358726,940.5183432323149,148.78370400984804,409.5650808920981,925.4084558340951,0.2836996448733511
Baseline,1,1,208.9940538858512,487,379.9986395729517,459.944332801526,302.8282473995595,259.96256736696995,389.0547210156012,12.454126750505974
Baseline,2,0,258.2809647485697,1000,846.4218025319095,941.5297398546429,260.41687974283644,298.4003574596314,928.6582589525226,0.13569160058899066
Baseline,3,0,157.88417516395006,403,362.22386128282966,379.81068952759256,217.1799498878176,182.99840756112224,337.1717726383354,0.0
Baseline,4,0,217.22218176824472,839,799.8337954533181,790.1954017641252,162.7412858765865,649.9253427685878,722.9825561692646,0.0
Baseline,5,0,109.3075371664369,318,282.78720578736863,300.085720275801,124.10024939047948,241.1132299440955,293.99652362720866,0.0
Baseline,6,0,149.90716130004787,441,378.1676777979334,416.341958087624,182.45788008427672,244.3913793534019,397.46939824235375,0.0
Baseline,7,0,152.28010790275707,543,505.3598549264913,512.0693984692375,142.5123540382787,308.9692094611395,485.92737193367947,2.1103907011846004
Baseline,8,0,250.7423932401178,832,665.7411245615807,783.685147685297,294.2627375475405,403.8643174747765,707.9791333745474,0.0
Baseline,9,0,158.04658404685094,405,321.66729335531966,382.77470830882004,214.95514645708954,273.69228396421556,344.27977968190805,0.0
Baseline,10,0,207.69342896900463,1000,918.6691941754336,940.2722158884166,126.3924993929691,364.50470668686586,924.3946494815079,0.0
Baseline,11,0,238.88991744663866,1000,886.4779900456108,941.1805901441022,191.83218211135528,459.2685098454002,895.697495386078,3.884661950902207
Baseline,12,0,109.28647517898186,398,371.57456773126154,375.1973279922763,91.18569869346604,294.2067448225118,370.1086253698885,0.0
Baseline,13,0,152.96978861037232,470,454.8194016881706,444.93353890184403,153.16143920791583,380.1020335064882,439.70132340312864,0.0
Baseline,14,0,165.94204768103768,713,618.342739000895,671.4193105743018,127.57121661473171,367.4557004121559,633.7704495726157,0.6379670469320798
Baseline,15,0,236.5615242420099,1000,696.5595470301646,941.8320296661792,244.0443459564189,350.74152280752213,871.8434290799181,0.0
Baseline,16,0,292.12097682463275,985,789.3605890152849,928.6008167700351,338.2594475078849,507.25578688491254,802.7234351238693,0.0
Baseline,17,0,319.2699163323114,1000,877.8806948006494,941.5522333024977,390.6085667692803,351.76630111310584,864.6988334279151,0.0
Baseline,18,0,309.6713845373794,1000,983.2229202717081,942.0361577822954,309.10413752356527,618.0830504242681,940.9163234965537,0.0
Baseline,19,0,117.21407141900139,316,286.24198668548036,298.60380976494116,144.84374010797177,210.77673731177677,288.72136264927434,0.0
Baseline,20,0,181.41894228721017,956,881.8279374623564,900.0315289407704,72.75105128726737,476.46673172463665,833.6827126270855,0.42823702579218914
Baseline,21,0,243.14403933824013,1000,898.6909045921474,941.7647142129662,186.64675928255602,463.33238855780496,816.1885658764053,30.08453624336557
Baseline,22,0,224.30633578868026,717,683.5894971865084,676.3605178396663,234.93364530778788,451.4536551191607,630.3624052588659,0.0
Baseline,23,0,103.52332578936067,277,253.51790618642937,261.8476130551696,125.05963819668439,209.39242215039124,256.2109991749201,0.0
Baseline,24,0,233.35104591467788,515,448.0106606501478,486.08470503610044,350.1317092770892,239.34044699617263,430.3811570926616,0.0
Baseline,25,0,158.37696715933052,416,363.13244642264004,392.76860073345966,206.70768698763084,254.4271581373014,366.87134163402436,0.0
Baseline,26,0,266.85115955504654,1000,822.2300119901626,941.703636073695,296.5747544206761,360.93185792501527,741.755182667742,2.4506535921048034
Baseline,27,0,388.22517783439724,782,677.5094468824542,737.0852453199898,622.4458938697172,259.44394369211597,625.4101243321403,0.0
Baseline,28,0,295.40551512366216,1000,990.4838620826904,944.3064765585442,263.25051197215845,723.120447182755,945.0544488640862,0.0
Baseline,29,0,136.9527722719777,361,330.1361439907761,340.5378290184734,175.72926974972475,205.78315188887527,328.7034985065089,0.0
Baseline,30,0,500.9972040879871,1000,959.6807893129629,941.2416830486865,765.022109878999,269.61936371147004,817.7695941172697,34.37923160495384
Baseline,31,0,183.46726036811862,487,416.5023991666198,459.06698198096973,247.85605237483028,240.41822293814934,412.7578334622512,0.0
