model,episode,success,total_reward,n_steps,stand_reward,small_control,door_openness_reward,door_hatch_openness_reward,hand_hatch_proximity_reward,passage_reward
Baseline,0,0,224.00678614308447,1000,959.069976358726,940.5183432323149,148.78370400984804,409.5650808920981,925.4084558340951,0.2836996448733511
Baseline,1,1,208.9940538858512,487,379.9986395729517,459.944332801526,302.8282473995595,259.96256736696995,389.0547210156012,12.454126750505974
Baseline,2,0,258.2809647485697,1000,846.4218025319095,941.5297398546429,260.41687974283644,298.4003574596314,928.6582589525226,0.13569160058899066
Baseline,3,0,157.88417516395006,403,362.22386128282966,379.81068952759256,217.1799498878176,182.99840756112224,337.1717726383354,0.0
Baseline,4,0,217.22218176824472,839,799.8337954533181,790.1954017641252,162.7412858765865,649.9253427685878,722.9825561692646,0.0
Baseline,5,0,109.3075371664369,318,282.78720578736863,300.085720275801,124.10024939047948,241.1132299440955,293.99652362720866,0.0
Baseline,6,0,149.90716130004787,441,378.1676777979334,416.341958087624,182.45788008427672,244.3913793534019,397.46939824235375,0.0
Baseline,7,0,152.28010790275707,543,505.3598549264913,512.0693984692375,142.5123540382787,308.9692094611395,485.92737193367947,2.1103907011846004
Baseline,8,0,250.7423932401178,832,665.7411245615807,783.685147685297,294.2627375475405,403.8643174747765,707.9791333745474,0.0
Baseline,9,0,158.04658404685094,405,321.66729335531966,382.77470830882004,214.95514645708954,273.69228396421556,344.27977968190805,0.0
Baseline,10,0,207.69342896900463,1000,918.6691941754336,940.2722158884166,126.3924993929691,364.50470668686586,924.3946494815079,0.0
Baseline,11,0,238.88991744663866,1000,886.4779900456108,941.1805901441022,191.83218211135528,459.2685098454002,895.697495386078,3.884661950902207
Baseline,12,0,109.28647517898186,398,371.57456773126154,375.1973279922763,91.18569869346604,294.2067448225118,370.1086253698885,0.0
Baseline,13,0,152.96978861037232,470,454.8194016881706,444.93353890184403,153.16143920791583,380.1020335064882,439.70132340312864,0.0
Baseline,14,0,165.94204768103768,713,618.342739000895,671.4193105743018,127.57121661473171,367.4557004121559,633.7704495726157,0.6379670469320798
Baseline,15,0,236.5615242420099,1000,696.5595470301646,941.8320296661792,244.0443459564189,350.74152280752213,871.8434290799181,0.0
Baseline,16,0,292.12097682463275,985,789.3605890152849,928.6008167700351,338.2594475078849,507.25578688491254,802.7234351238693,0.0
Baseline,17,0,319.2699163323114,1000,877.8806948006494,941.5522333024977,390.6085667692803,351.76630111310584,864.6988334279151,0.0
Baseline,18,0,309.6713845373794,1000,983.2229202717081,942.0361577822954,309.10413752356527,618.0830504242681,940.9163234965537,0.0
Baseline,19,0,117.21407141900139,316,286.24198668548036,298.60380976494116,144.84374010797177,210.77673731177677,288.72136264927434,0.0
Baseline,20,0,199.17532338256228,1000,988.1331865917729,940.4939293404275,78.11469094305261,510.65537640980403,911.1070024881741,0.0
Baseline,21,0,78.44127327825096,507,444.0376457679408,477.2238370001081,0.6862022893190332,292.07582715962474,417.29845472392446,2.457632253684136
Baseline,22,0,287.8995256387341,1000,849.254460099443,941.6226920035524,337.62205408208075,331.961222275376,785.9347554189296,0.3693491923992972
Baseline,23,0,488.0945405024359,1000,872.5410328296635,941.6775392395164,781.238594803637,308.87860744095536,775.3804917823609,0.4217119871290833
Baseline,24,0,181.17786269275197,641,539.087507972538,603.9222534374726,201.06733778096407,283.6925173930937,513.9594106801097,0.03125856854036857
Baseline,25,0,282.96080583427096,1000,753.8602438942767,942.2993563220598,335.9448171051906,487.8777833727253,725.4452895369586,0.21737537022297293
Baseline,26,0,361.75243427312796,975,792.1723499016958,920.6580265536786,480.7637903569128,558.4343405165696,853.5925119874818,0.0
Baseline,27,0,161.02350871950628,964,634.2270374426197,907.8083765897647,92.91415874062885,307.98964548944195,882.2348974253622,0.0
Baseline,28,0,409.81353933103105,1000,892.5184797687118,941.7127289751044,578.5562737925619,419.85872208912593,888.0525541617495,0.0
Baseline,29,0,142.35052572383404,361,285.8052511743055,340.20675526728667,206.4503341876094,157.6822328122327,292.48721249973397,0.0
Baseline,30,0,113.60875468926841,373,349.9554287441773,351.67246014779477,116.07631410011729,231.1236460184546,336.36599050498955,0.0
Baseline,31,0,301.2514552611771,1000,725.8698228092869,942.3502156909178,384.9695817630794,294.5999745005007,897.4977363827254,0.0
